"budget","domgross"
8.5e+07,148313048
6e+07,80070736
3450000,687185
2.75e+08,73058679
1.5e+07,14945541
6.5e+07,148809770
1.2e+08,124987022
6.5e+07,182207973
1.45e+08,216391482
2.15e+08,179020854
8.5e+07,64935167
1.6e+07,45512466
8e+06,22549338
4.2e+07,26414527
5e+06,53900335
6e+07,56003051
2.5e+07,77267296
1.6e+07,12431792
1.7e+07,65001093
3.5e+07,20275446
6.5e+07,44806783
5.8e+07,49876377
1.45e+08,103412758
7e+07,38518613
3.3e+07,17142080
750000,4010957
13500000,15024049
2e+07,17530219
2.1e+07,132092958
3e+06,48086903
2e+08,304360277
1.7e+08,155136755
1e+07,24397469
5e+06,14124286
3.3e+07,35074677
60000,4917
5e+07,218665740
67500000,36931089
2.2e+08,262030663
6e+07,23385416
2.75e+08,448139099
1e+06,53261944
6.5e+07,59650222
1e+08,85028192
2.5e+07,51580136
2.5e+08,303003568
8e+07,408010692
4e+07,19019882
1.5e+07,15634090
37500000,16247159
5.5e+07,31051126
1.5e+07,21403519
136200000,292324737
8738320,125014030
5.5e+07,34353000
1.5e+07,54333290
6e+06,11494838
1.2e+07,91547205
21500000,16684352
1.25e+08,58877969
7e+07,62321039
32500000,17288155
37500000,41152203
1.9e+07,5310554
1.5e+08,83670083
1.65e+08,189412677
52500000,95720716
2.8e+07,37053924
8e+06,35016118
2e+07,5702083
2e+07,35061031
175000,1321194
5e+06,17686929
8.5e+07,46462469
1.3e+07,1024175
1.9e+07,100292856
7e+07,83552429
1.7e+07,27865571
4500000,200558
32500000,169106725
1.4e+08,176654505
2e+08,191450875
9e+05,454121
4e+07,36665854
2e+07,38264085
6e+07,75658097
1e+07,749641
1.63e+08,100240551
1.8e+07,52698535
3.7e+07,72286779
5e+07,21302340
1.5e+07,35060689
1.25e+08,209837675
4e+07,42587643
2.4e+07,51802742
3e+07,18298649
2e+08,116601172
3.6e+07,45060734
3e+07,40259119
1.25e+08,381011219
2.3e+07,18942396
7e+06,382946
1800000,841056
3e+06,703372
6.3e+07,108085305
3.5e+07,117538559
1.8e+08,73864507
5e+07,55100437
7.5e+07,83504017
3.5e+07,37553932
5500000,5580479
1e+08,311434
4.5e+07,8305970
7e+06,37295394
8e+07,103028109
8e+05,29063
7e+07,25124986
1.5e+08,165249063
5500000,611709
250000,3395391
2.7e+07,79249455
1.4e+07,47185
3400000,5353586
1.5e+08,21392758
1e+06,2981038
9400000,3030848
3e+07,56816662
1.45e+08,209397903
5e+07,75605492
5.5e+07,68224452
2.6e+07,54544638
2.5e+07,70662220
1e+06,5355847
5e+06,24814830
5e+06,104028807
4e+07,37412945
2.5e+08,241063875
6e+07,29136626
1.3e+08,149260504
1.35e+08,123257581
1.1e+08,85463309
4.2e+07,37662162
4e+06,1065429
8e+06,163753
9e+07,143619809
9.3e+07,176760185
6500000,4002293
6e+06,1348205
1.8e+07,43853424
3.2e+07,54712227
2.5e+07,10324441
7.5e+07,36392502
5e+07,127004179
4750000,1728953
50200000,62495645
1.3e+08,77591831
1.6e+07,44667095
1e+07,46383639
3e+07,42073277
34800000,21443494
3e+06,18000
1e+06,568662
9e+07,102515793
1.1e+08,98780042
6e+06,5359774
2.5e+07,169705587
1.4e+07,29959436
4e+07,58009200
42500000,29121498
4.5e+07,88625922
3.7e+07,33047633
1.6e+07,37300107
1.1e+08,142614158
9e+07,20377913
3.5e+07,13305665
127500000,281287133
1.5e+08,181030624
2.1e+07,24149393
8.5e+07,78046570
1.95e+08,352390543
7e+07,79883359
2.5e+07,13657115
5e+07,75624550
190000,484592
2e+07,14011084
3e+07,26692846
1.6e+08,146408305
1.2e+07,16311571
120000,1597486
1.8e+07,18335230
2e+08,334191110
4200000,1044039
8e+06,3205706
3e+07,7502560
3200000,5790894
3.5e+07,5101237
1.3e+07,106954678
1e+06,9737892
5.5e+07,39440655
12500000,2039869
1.5e+07,123570
4.4e+07,31206263
1.25e+08,163214888
12500000,6797696
3.7e+07,44875481
1.5e+07,20218921
7e+06,7468936
5.5e+07,98711404
2.5e+07,80014842
6.9e+07,251513985
1e+07,33679655
1.5e+07,64003625
6.9e+07,73026337
2.5e+07,24046682
6.5e+07,100539043
2e+07,1186538
8e+06,58401464
6e+07,80574010
6e+07,43313890
5e+06,2712131
5e+07,11497497
1.2e+07,23240020
2.1e+07,37729698
1.5e+08,393050114
4e+07,61153526
3.2e+07,17804299
1e+08,35497337
7.5e+07,162001186
9900000,458054
1.25e+08,295983305
3.6e+07,50269859
1.65e+08,217581231
1e+07,5005465
1.6e+08,292576195
1500000,54009150
1.7e+08,312433331
8e+06,6363628
2.8e+07,48071303
1.17e+08,76423035
2.6e+07,40168080
2e+07,12134935
3e+07,53032453
3e+07,32367005
12500000,26593646
8e+06,1095369
2e+06,977772
1.3e+08,148415853
5e+05,237301
4e+07,31011732
3.5e+07,29197642
1.5e+07,2434652
3e+06,84752907
9.5e+07,88768303
3e+06,4033574
4e+07,52000688
2e+08,90759676
5e+06,2229058
1.5e+07,26167002
6e+07,90380162
1.6e+07,19068240
3.2e+07,13942007
2.1e+08,105487148
1.3e+08,118311368
8.5e+07,31611316
3.5e+07,59699513
9.5e+07,95347692
1.65e+08,238736787
8e+07,128012934
1e+07,21416355
7e+06,1785645
1900000,467602
2500000,327716
3.2e+07,57744720
2.6e+08,200821936
1.1e+08,77222099
3.5e+07,37490007
1.55e+08,104386950
2.5e+07,11538204
1.9e+07,39123589
2e+07,31177548
8.2e+07,103068524
1.1e+07,93617009
4.5e+07,15541549
16500000,39868642
4e+07,176591618
4e+06,20811365
1.3e+07,217277
1.5e+07,138797449
1.5e+08,131772187
1800000,41034350
2.5e+07,23591432
3e+07,21148651
1e+08,119219978
9500000,3573673
4e+07,96962694
1.6e+08,63150991
2.8e+07,24307106
1.9e+07,27758465
2e+07,277943
1e+08,67631157
3.7e+07,92186262
6.8e+07,300531751
1.5e+08,62189884
50000,391674
2e+08,415004880
2e+08,172062763
3.5e+07,171243005
5e+06,223838
9.5e+07,81562942
5.2e+07,110485654
7e+07,52474616
1e+07,152857
8e+06,109338
2e+06,6531503
8e+07,100246011
2e+07,25702053
1.5e+07,3247816
7500000,32391374
4e+07,64167069
2e+08,166112167
3e+07,31749894
1.4e+07,15515460
7e+06,9228788
7e+06,9176000
3200000,2277396
9800000,16044025
7e+07,619423
1e+06,621859
1.5e+07,33862903
7500000,12574914
1.5e+08,133375846
2e+07,15988876
6.5e+07,19551067
4.25e+08,760507625
2.1e+07,9451946
4.2e+07,60054530
3e+07,58715510
8500000,4444637
1.7e+07,27163593
2.6e+07,28544157
2e+07,14363397
2.7e+07,13261851
1.3e+07,3075255
1e+08,124870275
2.3e+07,6113834
6e+07,75286229
2e+07,30101577
8e+05,46742
3e+07,115646235
3e+07,42100625
1.6e+07,337997
2e+07,9208876
4e+07,21002919
8.5e+07,155064265
2e+07,17231291
3e+06,374675
1.7e+07,65002019
72500000,51855045
1.5e+08,119436770
1.75e+08,150201498
5e+07,20534907
7e+06,9176933
7300000,1818681
2.5e+08,301959197
4e+07,93953653
1.3e+07,2037459
4e+07,71440011
9e+07,196573705
7e+07,120831050
4.9e+07,37491364
8.5e+07,112735375
1.6e+07,16204793
4e+07,94125426
5e+07,79957634
5.3e+07,73357727
4500000,281447
4.2e+07,1259693
1.75e+08,198351526
5e+06,5010163
7e+06,1110509
1.4e+07,51545952
27500000,49200230
8e+07,19676965
5e+07,38122883
1900000,1445366
1.2e+07,550472
4300000,199228
4e+07,10330853
6600000,828
6e+07,42194060
1e+07,47566524
102500000,97104620
3.8e+07,31811527
9e+07,209028679
3e+07,17010170
1.4e+08,257730019
6e+07,37017955
8e+07,38577772
2e+08,125322469
3.5e+07,255959475
5e+07,8017467
8e+06,10273187
2.5e+07,15051977
8300000,493296
4e+07,66477700
1e+07,26218170
9e+07,102515793
1300000,695840
1e+07,100688
3.5e+07,277322503
3e+07,7689607
2.2e+07,33316821
18500000,18451251
1.8e+07,6617867
9.5e+07,44114232
2.4e+07,32428195
6500000,1109660
1.05e+08,104400899
4e+07,163958031
2.5e+07,8114270
8e+06,690290
6e+07,31720158
1.1e+08,65452312
3.9e+07,63414846
3.8e+07,88915214
1.6e+07,42670410
3.5e+07,11001272
2.1e+08,402111870
1.75e+08,293004164
3e+07,83823381
1.38e+08,107509799
1.5e+07,5306706
1e+08,77233467
1.5e+07,13043363
3.5e+07,10275638
1.5e+08,179883157
1.8e+07,15285588
23600000,75590286
3.5e+07,81159365
2e+07,20211394
1.3e+08,49554002
3e+07,60494212
2e+07,11175164
8e+07,110101975
2.5e+07,3073392
1.5e+08,114053759
3.7e+07,60355347
5.5e+07,35739802
5.8e+07,293708
3.8e+07,7871693
2.5e+07,80048433
6.5e+07,36316032
5e+07,28644813
7e+06,32241649
3.3e+07,11008770
2e+07,33446470
8e+07,101440743
1.4e+07,2656784
5e+05,33456317
2.5e+07,14543943
3e+07,63172463
8e+07,120146040
2.9e+07,18622031
1e+06,2511476
3.4e+07,15090399
2e+07,13252641
2.5e+07,148095302
9e+06,4886216
1.5e+08,227946274
82500000,75986503
1.1e+07,90559416
3e+07,19528602
1.5e+07,7800825
1.85e+08,317023851
6e+07,17303424
1.86e+08,318604126
4.5e+07,101704370
82500000,81168265
1.3e+08,215434591
4500000,2122085
4e+07,46012734
3.5e+07,40687294
6e+07,11803254
2e+07,31841299
4.5e+07,7916887
1e+07,31487293
3.7e+07,48006762
2.6e+07,87341380
1500000,3865
2.5e+07,10103647
1.8e+07,43869350
2.3e+08,169368427
1.2e+07,31691811
1.2e+07,12796861
4.5e+07,22911480
1.8e+07,5700626
5.4e+07,69951824
57500000,152647258
1.4e+07,141319928
1.2e+08,43945766
6.5e+07,100468793
5e+06,12062558
2e+07,3083538
2.5e+07,145000989
2e+07,30060660
2e+07,3531756
2.25e+08,141621490
1.6e+08,127509326
1.85e+08,533345358
8e+07,79366978
1.2e+07,31418697
5.5e+07,52075270
2.5e+07,48237389
1.5e+07,17017811
137500000,134806913
1.4e+07,266967
4e+07,26814957
32500000,34194407
1.1e+07,37770162
2.7e+07,44089964
9e+06,52597610
6e+07,50877145
1.6e+07,26902075
6e+06,26238243
1.5e+07,2203641
9e+07,110461307
3.7e+07,192769854
9e+07,83077762
1.6e+07,23216709
1.8e+08,223808164
2e+06,2283849
7.5e+07,134508551
27500000,42436517
3e+05,865695
3.5e+07,80277646
5e+07,97690976
22500000,71985628
1.5e+07,28638916
4.8e+07,53606916
3e+07,39568996
3e+07,16930884
4.5e+07,24343673
3e+07,50980159
16500000,18663911
1.5e+08,82195215
6.1e+07,118594548
2.5e+07,82234139
8e+06,458232
1.2e+07,3950294
7.5e+07,66661095
2.1e+07,42739347
2750000,952620
2e+07,80209692
5e+07,17181265
8.5e+07,127706877
1.2e+08,131921738
1.9e+07,20300218
7.5e+07,118871849
1.5e+07,58269151
5e+07,27669725
1.5e+08,292004738
17500000,39687694
7500000,17544812
1.6e+07,23618786
2.5e+07,13938332
1.5e+08,256393010
2e+07,18354356
7e+06,143495265
27500000,148761765
12500000,5956480
1.1e+08,134529403
21500000,49033882
4e+07,50572589
2.5e+07,74273505
2.8e+07,43107979
450000,107918810
7300000,4443403
3e+08,309420425
2e+07,47852604
1.5e+08,206445654
4.5e+07,50648679
1.8e+08,140125968
6e+07,47003582
1.6e+08,322719944
11400000,15000
7e+07,38634938
4e+07,3688560
17500000,121463226
16500000,11892415
2e+06,347578
4.5e+07,93466502
2.05e+08,70107728
2e+07,15800078
1.6e+07,35374833
1.3e+07,25593755
3.2e+07,35193167
9e+06,6623082
50000,251150
72500000,183135014
4e+06,9427026
2.5e+07,40222514
3.5e+07,54149098
1.51e+08,319246193
6537890,8744
1500000,19097550
2.8e+07,28563179
6e+07,210614939
2e+07,5501616
8e+06,18848430
1.2e+07,18597342
9e+06,16235738
1e+08,57377916
8e+06,12671300
1.8e+07,128505958
4e+06,7006708
7e+07,244082982
1.02e+08,167365000
7.6e+07,35552383
5e+06,24148068
1.2e+07,27838408
2e+06,11284657
3e+07,480314
1.6e+07,37634615
1e+08,75030163
8e+06,298110
2.5e+07,54098051
1.49e+08,64665672
1.2e+07,5549923
6500000,13368437
7.5e+07,195330621
1.5e+07,12669914
5e+07,88634237
1.1e+07,72778712
7.5e+07,42285169
4.5e+07,38399961
1.3e+07,13756082
1.4e+07,5463019
8e+06,59891098
2.7e+07,22495466
2e+07,37442180
4e+07,15962471
3e+07,3005605
7.5e+07,73661010
3.2e+07,80197993
1.1e+08,250863268
27500000,17510118
150000,9445857
8.5e+07,85105259
1.3e+07,4857374
63700000,2223293
2.25e+08,423315812
1.6e+08,60674817
4e+05,1692693
5300000,2197694
1.2e+07,6860000
2.5e+07,33889159
2e+06,199176
2e+06,1985292
5e+07,46982632
15250000,7802450
1.7e+07,35662731
3.3e+07,34020814
1.7e+07,275380
2e+07,26910736
3e+07,40435190
2.32e+08,200120000
3e+07,34742066
4.5e+07,28142535
5.2e+07,118806699
1.25e+08,217536138
3300000,19875
9e+07,133311000
3.5e+07,124740460
3.5e+07,10144010
2e+07,39143839
3700000,2730296
8.5e+07,63280000
5e+07,26623701
16500000,39868642
4e+07,52330111
19400000,8060487
4e+07,53089891
5.5e+07,162586036
1.5e+07,56441711
8300000,1829142
3e+07,18522064
9400000,12899867
6.5e+07,43545364
1.5e+07,47860214
1e+06,446165
2.1e+08,234362462
5.4e+07,75802010
3.5e+07,11989328
2.2e+07,4398532
5.5e+07,25857987
3e+07,20040895
1.5e+08,205343774
2.5e+07,36351350
8e+07,63313159
2.5e+07,2405420
2e+07,46752382
2900000,3127472
450000,2075743
13900000,83043761
7e+06,28750530
1.5e+08,206459076
4500000,211667
8.8e+07,61649911
4.5e+07,67264877
7.5e+07,75976178
450000,379418
3e+07,53359111
3.5e+07,19294901
4.3e+07,24537621
6e+07,25473093
8e+06,23106
5e+07,10169202
7e+07,28212337
87500000,154696080
5.5e+07,89706988
1.4e+08,110550000
7e+06,31501218
950000,1024640
1.5e+08,290013036
5e+07,66010682
2.5e+07,51100486
5.5e+07,177784257
17500000,51386611
4800000,47326473
2800000,22202809
2.5e+07,24381334
7.2e+07,62647540
1e+06,2678010
5.8e+07,48318130
2.07e+08,218080025
1.1e+08,47398413
1.5e+07,4235837
4.2e+07,24149632
7.5e+07,193595521
5e+07,19699706
1.5e+07,23089926
2e+06,3885134
8.5e+07,57010853
4e+06,864959
6e+07,48478006
1.1e+08,186336279
7.5e+07,47379090
3e+07,18324242
6.5e+07,2070920
2.8e+07,38372662
2e+07,7535331
2.6e+07,57891803
4e+07,29077547
8e+07,128200012
5e+06,87025093
3.9e+07,25514517
7500000,10284523
4e+07,74103820
3e+05,33312
6e+07,63939454
1e+08,17018422
1.15e+08,380270577
1.38e+08,32116746
2e+06,2072645
7500000,24793509
2.6e+07,109449237
5e+07,39177684
18500000,65233369
1500000,712294
1.8e+08,291710957
25500000,33579798
7e+06,26024456
7e+06,17044981
1.8e+07,75072454
1.8e+07,29511112
4.5e+07,51019112
1.2e+08,35818913
28500000,6301131
8e+07,45575336
3e+07,12712093
5e+07,75941727
4e+07,47907715
1500000,7372734
1.5e+07,31726995
1e+06,9015303
4750000,1253413
5e+07,70511035
1125000,16124543
2.9e+07,119519402
1.32e+08,234280354
3e+06,5529144
1e+07,56094360
4.5e+07,53359917
6.5e+07,28045540
3e+07,57139723
1.2e+07,1442338
7.5e+07,120776832
1.9e+07,51438175
6500000,1029017
5.5e+07,6167817
2.5e+07,84136909
1.1e+08,24004159
7e+07,80281096
1.5e+07,1200216
2e+06,5792822
5e+07,40203020
1e+08,40202379
4.5e+07,32003620
3.5e+07,33987757
6e+07,100170152
2e+07,8047525
7303082,55334418
3500000,96793
2.8e+07,58990765
3e+07,114326736
3.5e+07,22913677
2e+07,34366518
1e+07,70527
2.5e+07,51676606
7.5e+07,21009180
2500000,26782316
9e+06,18225165
1.3e+08,249538952
6e+07,59623958
1.1e+08,50026353
2.2e+07,12784713
1.05e+08,144801023
2.6e+07,45489752
1.1e+07,10214647
2e+07,17104669
6500000,2339957
1e+08,118627117
3200000,6529624
1.8e+07,86047227
3e+07,100492203
2.8e+07,64378093
1700000,1000915
4e+05,44540956
4e+07,14018364
7000,424760
5e+07,37485528
4e+07,75305995
5e+07,50740078
5e+06,8886160
1200000,55185045
4e+07,47958031
7.5e+07,161412000
5e+06,13542874
7e+07,441226247
1.7e+07,71502303
7e+07,37760080
7.5e+07,42044321
2e+08,373524485
2e+07,32774834
1.1e+08,102608827
8.5e+07,176087450
1.3e+07,57924679
1.2e+08,57712751
1.25e+08,186740799
1e+07,110359362
9.2e+07,261441092
5e+07,24006726
3e+07,81001787
5.5e+07,51225796
1.7e+08,194949659
4.5e+07,95149435
1e+08,59475623
7.5e+07,77073959
71682975,114197520
3e+07,16323969
1.5e+08,133298577
1.7e+08,120150546
1.1e+07,3753806
2e+07,69148997
3.5e+07,16862585
7.6e+07,127120058
2e+07,16248701
7e+07,66432867
2e+07,2353728
8.1e+07,242704995
1.2e+08,100814328
8e+07,95632614
2.5e+07,34657731
6e+07,104148781
8e+07,102543518
7e+06,32539681
6.8e+07,33685268
2.6e+07,46896664
9.4e+07,380529370
2.6e+07,110222438
1.2e+07,11634362
6400000,4063859
2e+07,67383924
7.5e+07,30207785
16500000,13005485
5e+07,105807520
1.37e+08,132177234
2.8e+07,52131264
1.2e+07,4717455
2.5e+07,35623801
5.5e+07,70098138
9e+07,65653758
2.5e+07,90639088
2e+06,7301288
4e+06,44585453
4.5e+07,59472278
1.35e+08,93926386
6.5e+07,63803100
5e+06,34469210
3e+07,90135191
1e+08,48417850
1.25e+08,305411224
2.8e+07,38372662
7e+07,116877597
4.5e+07,110000082
3e+07,42070939
5e+07,60470220
6e+06,2207975
6e+07,26483452
8e+07,124685242
4e+07,111760631
7800000,10130108
1.7e+08,150358296
8.5e+07,31111260
6e+07,106126012
2e+07,47901582
1.4e+08,111110575
7.8e+07,66465204
9.4e+07,377845905
1.27e+08,281553689
1.1e+08,139259759
6.5e+07,26900336
2e+07,81261177
2e+06,4601043
8e+07,19480739
750000,41196
2.2e+07,51970690
1e+07,15417771
1.25e+08,214949694
4500000,13084595
8e+06,45064915
8e+06,3076425
4.1e+07,116724075
3e+07,65005217
18500000,22498520
9e+06,184255
12500000,21078145
6.3e+07,213117789
5600000,32543449
5.4e+07,81676888
3e+07,40118420
1500000,21158188
3e+07,35266619
5.2e+07,164606800
3e+07,170687518
1.2e+07,37188667
5e+07,8355815
1.42e+08,160942139
2e+07,56398162
2e+07,1190018
13500000,15901849
1.2e+07,25885000
30000,77070
9.7e+07,77730500
7e+06,254683
1e+08,261987880
4.2e+07,41543207
7e+07,33561137
6.5e+07,176387405
9e+06,4777465
4.6e+07,67263182
8e+07,145771527
5.5e+07,93932896
1750000,145540
1.4e+08,190418803
1.02e+08,132024714
5e+07,126293452
5e+06,241438208
4.8e+07,95308367
1.1e+07,46566212
3.5e+07,30307804
7e+06,6199600
3e+06,5853194
7.8e+07,92955420
6e+07,43061982
3.5e+07,40119709
8.4e+07,153294164
70702619,227965690
3.2e+07,81150692
4.7e+07,14970038
1.39e+08,403706375
8e+07,73215310
4500000,410241
3.8e+07,85846296
6e+07,43254409
1.15e+08,310676740
1e+08,4411102
1e+07,30306281
6e+07,121468960
1.2e+07,1779284
8e+06,14018296
2.5e+07,41675994
1.5e+07,8378141
9.4e+07,342548984
2.5e+07,11411644
2e+07,12987647
4.8e+07,129094024
4e+06,6525762
6.5e+07,139225854
4.3e+07,24430272
2.1e+07,25296447
6e+07,50586000
1e+08,38120554
1.5e+07,19161999
6e+07,93354918
7e+07,78120196
4300000,20779666
1.6e+07,16357770
7e+07,141930000
7.8e+07,170708996
4.1e+07,56083966
2.8e+07,74058698
3.5e+07,13264986
3e+07,10965209
9e+07,78616689
9e+07,84052762
9.5e+07,108638745
3e+07,52990775
2.5e+07,71500556
5e+07,54997476
4500000,1270522
7.2e+07,112950721
8e+07,38311134
3.5e+07,31598308
5500000,6217849
1.8e+07,41300105
8.7e+07,165092266
1.25e+08,317575550
6e+06,3067312
1e+07,226792
4e+07,6114237
1.4e+07,13121555
2.2e+07,30059386
1e+07,37904175
2.2e+07,14252830
4.8e+07,47095453
2.5e+07,36833473
1500000,7025722
7e+05,1140965
9.4e+07,131144183
1.8e+07,96493426
250000,4210379
7.5e+07,5409517
1200000,13876974
1.15e+08,289423425
5.3e+07,57386369
1.5e+07,7219578
6500000,6173485
8.5e+07,183417150
7e+07,13596911
151500000,198539855
1.3e+07,91038276
4e+07,70836296
1e+07,488872
5e+07,267655011
2.3e+07,27338033
3.5e+07,112692062
3e+06,18492362
3.8e+07,144512310
2.2e+07,17951431
9e+06,454255
1.09e+08,315544750
7.2e+07,27796042
4.9e+07,43905746
1.7e+07,96522687
3e+07,108244774
2.8e+07,52353636
2.8e+07,60400856
1.9e+07,41867960
4.5e+07,76261036
1e+07,20384136
7e+07,100614858
2.8e+07,45172250
4.3e+07,37035515
6e+07,32522352
8e+06,15070285
5e+07,19452138
6e+06,18621249
5e+06,21995263
9e+06,16963963
1e+07,68353550
8.5e+07,233632142
1e+07,1276984
1.8e+07,17200925
9e+07,125305545
4.2e+07,106793915
2.5e+07,71309760
4.5e+07,60786269
12500000,4157491
1.4e+07,46729374
4.5e+07,27447471
5e+07,125548685
2.3e+07,53302314
1.03e+08,187683805
103300000,101643008
2e+07,27277055
9e+07,73209340
8e+07,39442871
1.5e+07,27441122
5.5e+07,166225040
5e+06,25544867
4.5e+07,106807667
9e+07,60874615
2.6e+07,45506619
2.3e+07,39235088
3e+07,43746923
8e+07,17480890
3e+07,115654751
4500000,3635482
2.4e+07,32662299
2.5e+07,55973336
3e+07,76501438
4e+06,12178602
4e+07,89138076
4300000,6946056
5.5e+07,56932305
1e+07,30093107
1800000,3050934
5e+07,39778599
3.5e+07,61280963
1e+08,89296573
1e+07,12008642
1.1e+08,113330342
9.5e+07,50802661
9e+06,6047856
2.4e+07,57262492
8e+07,34566746
7.5e+07,22751979
73243106,94999143
225000,1032075
7.5e+07,68473360
9e+07,155464351
6.5e+07,182805123
1.5e+07,33771174
1.5e+07,128067808
7.5e+07,157299717
1.3e+07,38177966
4e+07,36443442
1.5e+07,130058047
1.2e+07,101800948
3e+07,106885658
7.5e+07,39251128
2.3e+07,18653615
3.5e+07,206040085
1.3e+07,22858926
1e+07,5241315
3.6e+07,68208190
2e+06,11540607
1200000,2205627
2.1e+07,17760244
1.1e+07,38230075
1.3e+07,6276869
1e+07,30651422
1e+07,10571408
8500000,14943582
6.5e+07,55691208
6.5e+07,37030102
2.7e+07,4485485
5e+07,35188640
4.5e+07,71423726
2.4e+07,28871190
6500000,16875273
3e+06,3076820
3.7e+07,22450975
2.4e+07,16304786
6.8e+07,29762011
4.2e+07,116089678
1e+07,10827813
5e+07,81526121
3e+07,85744662
1.2e+07,2062406
7e+07,101068340
2.1e+07,52037603
1.15e+08,474544677
1.05e+08,140015224
1.45e+08,171091819
1.25e+08,32698899
6e+05,140539099
7e+06,30471
6e+07,136801374
8e+07,91188905
5e+07,23159305
6.5e+07,171479930
8e+07,155385488
4e+07,293506292
4e+07,81292135
2e+07,10570375
2e+07,6201757
9e+07,245852179
7.5e+07,14010690
1.75e+08,113805681
3e+07,11578022
1.3e+07,16757163
4.5e+07,162798565
1e+07,6719864
1.4e+08,201578182
5.3e+07,22852487
4.5e+07,70141876
2.5e+07,32404188
1500000,2380606
2.7e+07,14435076
8e+07,140464664
1.5e+07,17507368
2.5e+07,30082699
8.5e+07,111549836
2.6e+07,65705772
18500000,10680275
1300000,1647780
2e+06,1152411
1.25e+08,136314294
1.7e+07,55041738
3e+06,2746453
3e+07,60110313
6e+06,4595000
1350000,3897569
8e+07,69117629
6e+07,32983332
9e+07,120620254
4.8e+07,37562568
68000,3221152
6e+07,46850558
6.5e+07,39017984
4e+07,22772500
1.2e+07,22921898
1750000,7267324
3.5e+07,141186864
1e+07,17105219
1e+06,21210
6.5e+07,216335085
2.6e+07,100317794
8e+07,74339294
6e+06,11911200
5e+06,5502773
4e+07,55143823
2e+06,6719300
7.3e+07,37068294
7e+07,70187658
5e+07,91137662
6e+07,23385416
1.5e+07,17498804
1.5e+07,40283321
3.5e+07,56968169
6.5e+07,93828745
5e+07,44705766
6e+07,101413188
2e+07,1903434
5.2e+07,36400491
6e+07,125618201
2.2e+07,176484651
1.4e+07,38116707
2e+07,20268825
9e+06,1053788
2e+07,29795299
6.5e+07,115821495
2.8e+07,8165213
3e+06,24646936
8.5e+07,172956409
6e+07,47795018
5.3e+07,58403409
5e+07,148478011
1.8e+07,53883989
1.25e+08,107325195
1.5e+07,26410771
3.2e+07,3588602
250000,12006514
2900000,8.5e+07
2e+06,537948
8e+07,101117573
8e+07,76118990
9e+07,100920329
5e+06,14843425
6e+07,26673242
4e+07,42071069
8e+07,92993801
5e+07,48169156
3.6e+07,12532777
5.5e+07,105263257
1e+07,138433435
1.5e+07,28084357
7e+07,99112101
1.7e+07,72250091
25000,2883661
1.2e+07,39673162
2.7e+07,60527873
3.5e+07,64604977
4.5e+07,181410615
9e+07,250690539
2e+07,2374107
3e+07,35927406
3.5e+07,43894863
4.6e+07,126813153
1e+06,582024
2.4e+07,101363301
2e+07,35450113
3.5e+07,2221994
4e+07,54979992
1e+08,54768952
5.7e+07,61007424
